Yearnumber,Periodname,Provider Org Code,Provider Name,Commissioner Org Code,Commissioner Org Name,Nhs1 Population SUM,Nhs1 Number Calls Offered SUM,Nhs1 Calls Through 111 SUM,Nhs1 Calls Through Other SUM,Nhs1 Abandoned Calls SUM,Nhs1 Answered Calls SUM,Nhs1 Answered Through 111 SUM,Nhs1 Answered Through Other SUM,Nhs1 Answered 60sec SUM,Nhs1 Calls Person Triaged SUM,Nhs1 Cnt Caller Terminated SUM,Nhs1 Cnt Caller Referred SUM,Nhs1 Cnt Caller Given Info SUM,Nhs1 Cnt Other Reason SUM,Nhs1 Transferred To Ca SUM,Nhs1 Wtransferred To Ca SUM,Nhs1 Ave Wtransfer Time SUM,Nhs1 Person Offered Call Back SUM,Nhs1 Calls Back Within 10mins SUM,Nhs1 Ave Episode Length SUM,Nhs1 Amb Dispatches SUM,Nhs1 Recommend To Ae SUM,Nhs1 Recommend To Primcare SUM,Nhs1 Rec Contact Prim Com Care SUM,Nhs1 Rec Speak Prim Com Care SUM,Nhs1 Rec Dental Pharmacy SUM,Nhs1 Recommend To Other SUM,Nhs1 Not Recommend SUM,Nhs1 Given Health Information SUM,Nhs1 Recommended Home Care SUM,Nhs1 Recommended Non Clinical SUM,Nhs1 Time Call Handlers SUM,Nhs1 Time Clinical Staff SUM,Nhs1 Cost Call Handlers SUM,Nhs1 Cost Clinical Staff SUM,Ave_Wtransfer_Time_Minutes,Episode_Length_Minutes,Abandonment Rate,Total_Cost,Cost_Per_Answered_Call,A&E_Referral_Rate,PrimaryCare_Referral_Rate,Answered_60sec_Rate,Callback_10min_Compliance,Rank_Answered_60sec,Rank_Callback_Compliance,Combined_Rank,Calls_Offered_Per_1k,Calls_Answered_60sec_Per_1k,Ambulance_Dispatches_Per_1k
2015-16,Apr-15,111AA1,NORTH EAST ENGLAND NHS 111,00N,NHS SOUTH TYNESIDE CCG,2623300,67491,63764,3727,1087,56339,54562,1777,52692,51703,2073,444,1620,1905,17364,11155,00:01:01,6209,3067,00:10:53,7809,4613,30609,20199,7305,3105,3068,5604,870,2800,1934,487251.0,145285.0,7921.0,4826.0,1.02,10.88,0.016105851150523775,12747.0,0.2262553470952626,0.08187933758142672,0.5433003780684783,93.52668666465503,49.39603800934128,317,148,232.5,25.727518774063203,20.08615103114398,2.9767849655014675
2015-16,Apr-15,111AA2,LINCOLNSHIRE NHS 111,03T,NHS LINCOLNSHIRE EAST CCG,733200,16087,16087,0,42,16045,16045,0,15688,13710,454,472,44,1365,3232,1302,00:00:33,1930,918,00:12:03,1820,1179,9066,6740,1786,540,350,1295,104,734,457,136636.5,42133.0,7921.0,4826.0,0.55,12.05,0.002610803754584447,12747.0,0.7944531006544094,0.07348083515113743,0.5650358367092552,97.77500779058896,47.56476683937824,43,168,105.5,21.940807419530824,21.396617566830333,2.4822695035460995
2015-16,Apr-15,111AA3,LUTON NHS 111,06P,NHS LUTON CCG,213700,3362,3362,0,14,3330,3330,0,3221,2807,229,0,10,284,477,207,00:01:14,270,267,00:32:20,258,249,1924,1393,347,184,87,289,33,172,84,136636.5,42133.0,7921.0,4826.0,1.23,32.33,0.004164187983343248,12747.0,3.827927927927928,0.07477477477477477,0.5777777777777777,96.72672672672672,98.88888888888889,118,5,61.5,15.732335049134301,15.072531586335986,1.2072999532054283
2015-16,Apr-15,111AA4,NOTTINGHAM CITY NHS 111,04K,NHS NOTTINGHAM CITY CCG,1002400,22698,22595,103,259,22131,22032,99,20650,20211,7,1,1,1911,4861,1833,00:00:16,3028,996,00:14:35,1947,1711,11919,7852,2714,1353,553,4081,373,1014,2694,119676.0,47171.0,7921.0,4826.0,0.27,14.58,0.011410696977707286,12747.0,0.5759793954181917,0.07731236726763363,0.5385658126609733,93.30802946093715,32.89299867899604,329,360,344.5,22.64365522745411,20.600558659217874,1.942338387869114
2015-16,Apr-15,111AA5,DERBYSHIRE NHS 111,04J,NHS NORTH DERBYSHIRE CCG,1006500,24872,24417,455,252,24326,23889,437,22707,24166,7,1,2,150,6437,2323,00:00:15,4114,1385,00:15:32,2143,1902,14405,9167,4170,1068,1057,4659,424,1235,3000,126741.0,39071.0,7921.0,4826.0,0.25,15.53,0.01013187520102927,12747.0,0.5240072350571405,0.07818794705253639,0.5921647619830633,93.34456959631669,33.66553232863394,327,346,336.5,24.71137605563835,22.560357675111774,2.1291604570293097
2015-16,Apr-15,111AA6,ISLE OF WIGHT NHS 111,10L,NHS ISLE OF WIGHT CCG,140000,5176,5153,23,92,4910,4891,19,4753,4715,40,33,26,96,803,783,00:00:42,20,8,00:08:15,557,300,3193,2009,752,432,285,380,57,276,47,33436.0,10900.0,8648.0,5095.0,0.7,8.25,0.01777434312210201,13743.0,2.7989816700611,0.06109979633401222,0.6503054989816701,96.80244399185337,40.0,111,264,187.5,36.971428571428575,33.95,3.9785714285714286
2015-16,Apr-15,111AA7,INNER NORTH WEST LONDON NHS 111,08C,NHS HAMMERSMITH AND FULHAM CCG,568200,12837,12837,0,24,12296,12296,0,11982,11467,2767,183,65,0,1760,944,00:02:21,816,379,00:10:41,1024,769,5802,4165,1356,281,340,3532,222,465,2845,136636.5,42133.0,7921.0,4826.0,2.35,10.68,0.0018695956999298902,12747.0,1.0366785946649317,0.06254066363044893,0.4718607677293429,97.44632400780742,46.44607843137255,69,191,130.0,22.592397043294614,21.087645195353748,1.8021823301654347
2015-16,Apr-15,111AA9,HILLINGDON LONDON NHS 111,08G,NHS HILLINGDON CCG,295700,10325,10325,0,26,10299,10299,0,10079,8037,420,46,40,1756,2168,994,00:01:01,1174,455,00:14:30,868,732,5100,3888,986,226,144,1193,102,609,482,136636.5,42133.0,7921.0,4826.0,1.02,14.5,0.0025181598062953997,12747.0,1.2376929799009613,0.07107486163705214,0.49519370812700264,97.86387027866783,38.756388415672916,35,286,160.5,34.917145755833616,34.08522150828543,2.9354075076090633
2015-16,Apr-15,111AB1,CROYDON NHS 111,07V,NHS CROYDON CCG,380800,4721,4721,0,9,4712,4712,0,4612,3848,198,81,12,573,1080,476,00:00:38,604,237,00:14:42,437,330,2407,1866,444,97,127,547,35,293,219,136636.5,42133.0,7921.0,4826.0,0.63,14.7,0.0019063757678457953,12747.0,2.7052207130730053,0.0700339558573854,0.5108234295415959,97.87775891341256,39.23841059602649,34,277,155.5,12.397584033613445,12.111344537815125,1.1475840336134455
2015-16,Apr-15,111AB2,HERTFORDSHIRE NHS 111,06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,1143000,31545,23909,7636,147,26482,22772,3710,25896,21210,0,10,0,5262,6049,5338,00:00:46,711,548,00:09:30,1643,1753,14417,10180,3128,1109,841,2556,469,1536,551,436089.0,202125.0,7921.0,4826.0,0.77,9.5,0.00466000951022349,12747.0,0.48134581980212976,0.06619590665357601,0.5444075220904766,97.78717619515143,77.0745428973277,41,19,30.0,27.598425196850393,22.656167979002625,1.4374453193350831
